store,date_of_week,sales,price
STORE7,2011-08-20,1460,2.3043840579710144
STORE7,2011-08-27,1709,2.279339285714286
STORE7,2011-09-03,1615,2.2869006849315068
STORE7,2011-09-10,1542,2.3042534722222223
STORE7,2011-09-17,1478,2.284568345323741
STORE7,2011-09-24,1442,2.312338129496403
STORE7,2011-10-01,1479,2.3038368055555556
STORE7,2011-10-08,1393,2.3058978873239435
STORE7,2011-10-15,1394,2.298814814814815
STORE7,2011-10-22,1476,2.337028985507246
STORE7,2011-10-29,1568,2.3225709219858155
STORE7,2011-11-05,1541,2.323472222222222
STORE7,2011-11-12,1580,2.341188811188811
STORE7,2011-11-19,1631,2.3438020833333333
STORE7,2011-11-26,1804,2.3261524822695034
STORE7,2011-12-03,1440,2.3628645833333333
STORE7,2011-12-10,1530,2.3410344827586207
STORE7,2011-12-17,1653,2.3249305555555555
STORE7,2011-12-24,1778,2.3571328671328673
STORE7,2011-12-31,1585,2.3588204225352114
STORE8,2011-01-01,1547,2.460774647887324
STORE8,2011-01-08,1316,2.4956164383561643
STORE8,2011-01-15,1540,2.499527972027972
STORE8,2011-01-22,1511,2.491181506849315
STORE8,2011-01-29,1441,2.4744718309859155
STORE8,2011-02-05,1602,2.4987666666666666
STORE8,2011-02-12,1657,2.507398648648649
STORE8,2011-02-19,1504,2.5078523489932887
STORE8,2011-02-26,1456,2.464016129032258
STORE8,2011-03-05,1474,2.4749161073825503
STORE8,2011-03-12,1492,2.4964473684210526
STORE8,2011-03-19,1638,2.4564123376623375
STORE8,2011-03-26,1685,2.4664772727272726
STORE8,2011-04-02,1728,2.428202614379085
STORE8,2011-04-09,1693,2.444509493670886
STORE8,2011-04-16,1695,2.404015625
STORE8,2011-04-23,1808,2.447189655172414
STORE8,2011-04-30,1760,2.396598639455782
STORE8,2011-05-07,2066,2.426282894736842
STORE8,2011-05-14,1881,2.4257833333333334
STORE8,2011-05-21,1791,2.4481164383561644
STORE8,2011-05-28,1976,2.4106802721088436
STORE8,2011-06-04,1988,2.36544701986755
STORE8,2011-06-11,1788,2.4058221476510067
STORE8,2011-06-18,1915,2.384510135135135
STORE8,2011-06-25,1921,2.3718027210884354
STORE8,2011-07-02,2043,2.366283783783784
STORE8,2011-07-09,2215,2.33244966442953
STORE8,2011-07-16,1888,2.3797743055555554
STORE8,2011-07-23,1869,2.379486301369863
STORE8,2011-07-30,1808,2.3854194630872483
STORE8,2011-08-06,1851,2.352516447368421
STORE8,2011-08-13,1911,2.3834333333333335
STORE8,2011-08-20,1881,2.3723709677419356
STORE8,2011-08-27,1943,2.4007450331125826
STORE8,2011-09-03,1903,2.335196078431373
STORE8,2011-09-10,1888,2.3458443708609273
STORE8,2011-09-17,1843,2.41705
STORE8,2011-09-24,1796,2.4200645161290324
STORE8,2011-10-01,1812,2.422845394736842
STORE8,2011-10-08,1620,2.413548387096774
STORE8,2011-10-15,1755,2.4542105263157894
STORE8,2011-10-22,1699,2.414029605263158
STORE8,2011-10-29,1808,2.4384516129032257
STORE8,2011-11-05,1712,2.364313725490196
STORE8,2011-11-12,1580,2.370843949044586
STORE8,2011-11-19,1700,2.3396540880503145
STORE8,2011-11-26,1804,2.3774358974358973
STORE8,2011-12-03,1493,2.300951612903226
STORE8,2011-12-10,1528,2.3583823529411765
STORE8,2011-12-17,1651,2.3780128205128204
STORE8,2011-12-24,2057,2.38343949044586
STORE8,2011-12-31,1560,2.3774837662337664
STORE9,2011-01-01,1238,2.638440594059406
STORE9,2011-01-08,1041,2.694552631578947
STORE9,2011-01-15,1138,2.683894736842105
STORE9,2011-01-22,1214,2.694819587628866
STORE9,2011-01-29,1085,2.6963563829787236
STORE9,2011-02-05,1265,2.653125
STORE9,2011-02-12,1175,2.63215
STORE9,2011-02-19,1218,2.6914851485148517
STORE9,2011-02-26,1106,2.67865
STORE9,2011-03-05,1167,2.644520202020202
STORE9,2011-03-12,1155,2.6340500000000002
STORE9,2011-03-19,1311,2.6450526315789475
STORE9,2011-03-26,1304,2.700442708333333
STORE9,2011-04-02,1404,2.665563725490196
STORE9,2011-04-09,1330,2.665294117647059
STORE9,2011-04-16,1453,2.539527027027027
STORE9,2011-04-23,1460,2.623220338983051
STORE9,2011-04-30,1586,2.5954687499999998
STORE9,2011-05-07,1550,2.5963616071428572
STORE9,2011-05-14,1515,2.6045258620689653
STORE9,2011-05-21,1546,2.667413043478261
STORE9,2011-05-28,1466,2.5830701754385963
STORE9,2011-06-04,1651,2.5872477064220183
STORE9,2011-06-11,1521,2.616340909090909
STORE9,2011-06-18,1580,2.555219298245614
STORE9,2011-06-25,1539,2.5514285714285716
STORE9,2011-07-02,1617,2.5472619047619047
STORE9,2011-07-09,1824,2.5374324324324324
STORE9,2011-07-16,1591,2.5678440366972475
STORE9,2011-07-23,1534,2.5461574074074074
STORE9,2011-07-30,1587,2.5950669642857145
STORE9,2011-08-06,1677,2.5078043478260867
STORE9,2011-08-13,1668,2.497872807017544
STORE9,2011-08-20,1750,2.557837837837838
STORE9,2011-08-27,1698,2.560608695652174
STORE9,2011-09-03,1727,2.5285087719298245
STORE9,2011-09-10,1701,2.572171052631579
STORE9,2011-09-17,1697,2.595275229357798
STORE9,2011-09-24,1604,2.601798245614035
STORE9,2011-10-01,1781,2.5947045454545457
STORE9,2011-10-08,1477,2.647595238095238
STORE9,2011-10-15,1678,2.6736926605504587
STORE9,2011-10-22,1563,2.6494859813084113
STORE9,2011-10-29,1561,2.5845
STORE9,2011-11-05,1586,2.6197391304347826
STORE9,2011-11-12,1558,2.58686320754717
STORE9,2011-11-19,1484,2.600796460176991
STORE9,2011-11-26,1606,2.6120353982300886
STORE9,2011-12-03,1402,2.534659090909091
STORE9,2011-12-10,1493,2.602126168224299
STORE9,2011-12-17,1495,2.5629424778761063
STORE9,2011-12-24,1426,2.6415046296296296
STORE9,2011-12-31,1240,2.6231858407079645
STORE1,2012-01-07,1745,2.3951807228915665
STORE1,2012-01-14,1224,2.4849025974025976
STORE1,2012-01-21,1325,2.4047865853658537
STORE1,2012-01-28,1242,2.3762576687116566
STORE1,2012-02-04,1478,2.404289940828402
STORE1,2012-02-11,1865,2.3732183908045976
STORE1,2012-02-18,1217,2.293645251396648
STORE1,2012-02-25,1323,2.330301724137931
STORE1,2012-03-03,1197,2.402685714285714
STORE1,2012-03-10,1401,2.3161271676300577
STORE1,2012-03-17,1481,2.319211229946524
STORE1,2012-03-24,1786,2.379796954314721
STORE1,2012-03-31,1566,2.3539606741573036
STORE1,2012-04-07,1516,2.328086592178771
STORE1,2012-04-14,1560,2.3507162162162163
STORE1,2012-04-21,1553,2.368699494949495
STORE1,2012-04-28,1403,2.323054054054054
STORE1,2012-05-05,1551,2.3105196629213482
STORE1,2012-05-12,1898,2.355732044198895
STORE1,2012-05-19,1802,2.437240932642487
STORE1,2012-05-26,1914,2.3858333333333333
STORE1,2012-06-02,2656,2.3854289215686273
STORE1,2012-06-09,1701,2.3707
STORE1,2012-06-16,1976,2.4292000000000002
STORE1,2012-06-23,2560,2.324070351758794
STORE1,2012-06-30,1896,2.260360824742268
STORE1,2012-07-07,2941,2.321480099502488
STORE1,2012-07-14,1768,2.314320652173913
STORE1,2012-07-21,2210,2.3318461538461537
STORE1,2012-07-28,2000,2.2780186170212766
STORE1,2012-08-04,2050,2.332175
STORE1,2012-08-11,2038,2.3258044554455446
STORE1,2012-08-18,1936,2.344795918367347
STORE1,2012-08-25,1957,2.365012376237624
STORE1,2012-09-01,2197,2.316666666666667
STORE1,2012-09-08,2189,2.3415547263681593
STORE1,2012-09-15,1879,2.3392894736842105
STORE1,2012-09-22,1988,2.338265306122449
